company,trade_symbol,analysis_symbol,baseline_rating,baseline_date,latest_price_date,close,pct_1d,pct_5d,pct_20d,rsi_14,volume_ratio_20d,vs_sma_50,vs_sma_200,triggers,priority,log_path,error
Constellation Energy,GETTEX:E7S,CEG,BUY,2026-05-19,2026-05-19,257.18499755859375,-1.8377871913764277,-12.266836536949022,-7.243583718248237,30.93208773042693,0.3021227406070989,-12.680746459976822,-20.616765202359666,5D MOVE -12.3%,18,results/CEG/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Modine Manufacturing,GETTEX:MMF,MOD,HOLD,2026-05-19,2026-05-19,236.96229553222656,-4.114316007644403,-14.227999798957558,-4.253791962208464,51.15752378096945,0.30899376026634623,0.06961614060772003,34.0272263980338,1D MOVE -4.1%; 5D MOVE -14.2%,42,results/MOD/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Amkor Technology,GETTEX:AMK,AMKR,BUY,2026-05-19,2026-05-19,63.02000045776367,-4.572986698813941,-14.200131958927365,-10.240704629633147,38.82180181044661,0.22138701786464382,5.653805154890534,48.72450905006356,1D MOVE -4.6%; 5D MOVE -14.2%,38,results/AMKR/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Powell Industries,GETTEX:PW2,POWL,BUY,2026-05-19,2026-05-19,251.9949951171875,-5.549097958456284,-18.19671965494579,4.575255774840881,49.589271396794175,0.2176899125325048,9.511952323065742,70.58978766064044,1D MOVE -5.5%; 5D MOVE -18.2%,38,results/POWL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Kulicke & Soffa,GETTEX:KU1,KLIC,BUY,2026-05-19,2026-05-19,94.7699966430664,-4.6195691818534,-3.2959217927893802,12.928978444778071,62.98381469393205,0.19325598877123745,19.4809332958495,72.11055409629338,1D MOVE -4.6%,20,results/KLIC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Generac,GETTEX:G84,GNRC,BUY,2026-05-19,2026-05-19,241.55999755859375,-4.540606739614994,-10.397269616846415,12.957676251673767,42.18491734994977,0.1837958682589005,8.577319464033017,28.60647445548048,1D MOVE -4.5%; 5D MOVE -10.4%,38,results/GNRC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Cohu,GETTEX:CU3,COHU,BUY,2026-05-19,2026-05-19,42.119998931884766,-4.705886414370186,-14.59854178323331,-6.149737233832864,44.49638608830029,0.3668330486215674,8.897424242199946,51.61440901867596,1D MOVE -4.7%; 5D MOVE -14.6%,38,results/COHU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Arista Networks,GETTEX:1170,ANET,HOLD,2026-05-19,2026-05-19,137.60000610351562,-2.9002896165619685,-3.4656850114344606,-20.398006700414427,26.32542684616429,0.16054689290084745,-5.98665105803724,-1.3279092920781332,RSI LOW 26,12,results/ANET/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Dell Technologies,GETTEX:12DA,DELL,BUY,2026-05-19,2026-05-19,229.51010131835938,-3.5793376904720398,-3.946556050345451,8.075956234091208,59.87910010084894,0.18305024131854947,18.499232966434565,55.73509544828843,1D MOVE -3.6%,20,results/DELL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Applied Materials,GETTEX:AP2,AMAT,BUY,2026-05-19,2026-05-19,399.9200134277344,-3.300528001244407,-7.2541739085755115,1.4176012593057896,55.090179548784945,0.2631255708599216,4.199673566642703,41.268938452730765,1D MOVE -3.3%; 5D MOVE -7.3%,38,results/AMAT/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Lam Research,GETTEX:LAR0,LRCX,BUY,2026-05-19,2026-05-19,265.9700012207031,-4.313566917170064,-8.045218434289081,2.9415203959997527,57.12866426343053,0.26655082995095436,6.160054169429863,43.63288979539139,1D MOVE -4.3%; 5D MOVE -8.0%,38,results/LRCX/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Oracle,GETTEX:ORC,ORCL,HOLD,2026-05-19,2026-05-19,182.9600067138672,-1.9559476365394235,-2.071399175324651,0.9880270260049562,64.15988774227708,0.1908201536523162,10.847533113509389,-11.979026230797341,,4,results/ORCL/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
